City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Gboko,NG,2020-05-25 20:03:46,7.32,9.0,79.97,78,100,3.42
191,Ranau,MY,2020-05-25 20:03:46,5.95,116.66,79.0,94,20,4.7
192,Abu Samrah,SY,2020-05-25 20:03:46,35.3,37.18,64.83,59,0,7.83
193,East London,ZA,2020-05-25 20:03:46,-33.02,27.91,64.74,50,41,24.23
194,Orlik,RU,2020-05-25 20:03:46,52.52,99.83,50.18,66,100,1.48
195,Bose,IT,2020-05-25 20:03:47,45.46,8.01,70.0,64,0,3.44
196,Nemuro,JP,2020-05-25 20:02:31,43.32,145.57,46.62,90,99,7.34
197,Airai,TL,2020-05-25 20:03:47,-8.93,125.41,60.19,100,89,1.23
198,Saldanha,ZA,2020-05-25 20:03:47,-33.01,17.94,51.8,81,90,1.12
199,Ribeira Grande,PT,2020-05-25 20:03:47,38.52,-28.7,68.0,82,20,10.29
200,Udachnyy,RU,2020-05-25 20:03:47,66.42,112.4,50.0,93,90,8.95
201,Ostrovnoy,RU,2020-05-25 20:03:48,68.05,39.51,40.75,73,99,1.77
202,Tomball,US,2020-05-25 20:03:48,30.1,-95.62,84.0,61,40,10.29
203,Ndele,CF,2020-05-25 20:03:48,8.41,20.65,75.15,85,99,4.09
204,Brownwood,US,2020-05-25 20:03:48,31.71,-98.99,75.2,57,75,6.93
205,Tazovskiy,RU,2020-05-25 20:03:48,67.47,78.7,32.59,94,1,10.27
206,Sakaiminato,JP,2020-05-25 20:03:48,35.55,133.23,66.2,93,90,2.24
207,Meulaboh,ID,2020-05-25 20:03:48,4.14,96.13,77.99,86,100,4.72
208,Pochutla,MX,2020-05-25 20:03:49,15.74,-96.47,91.99,49,5,17.22
209,Khatanga,RU,2020-05-25 20:03:49,71.97,102.5,37.45,87,100,9.08
210,Caconda,AO,2020-05-25 20:03:49,-13.73,15.07,59.02,53,0,1.83
211,Hokitika,NZ,2020-05-25 20:00:20,-42.72,170.97,47.53,78,3,4.76
212,Westport,US,2020-05-25 20:03:49,41.14,-73.36,63.0,82,90,6.93
213,Ponta Do Sol,PT,2020-05-25 20:03:50,32.67,-17.1,80.6,26,20,16.11
214,Madimba,TZ,2020-05-25 20:03:50,-10.4,40.33,73.4,88,20,11.41
215,Tautira,PF,2020-05-25 20:03:50,-17.73,-149.15,86.0,66,75,8.05
216,Vestmannaeyjar,IS,2020-05-25 20:03:50,63.44,-20.27,46.78,78,100,25.66
217,Puri,IN,2020-05-25 20:03:50,19.8,85.85,84.2,83,75,16.11
218,Juegang,CN,2020-05-25 20:03:50,32.32,121.19,63.0,93,100,5.12
219,Witu,KE,2020-05-25 20:03:51,-2.39,40.44,77.05,89,1,7.85
220,Mount Vernon,US,2020-05-25 20:03:51,40.91,-73.84,73.0,72,40,11.41
